,GAME_ID,TEAM_ABBREVIATION,TEAM_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON
70,11700041,DEN,28991029374,36.0,89.0,4.997999999999999,8.0,27.0,3.25,20.0,26.0,4.433,10.0,26.0,36.0,25.0,11.0,4.0,13.0,18.0,100.0,-110.0,2017
71,11700041,SAS,30601642421,45.0,79.0,7.715,16.0,28.0,5.55,16.0,18.0,6.0,5.0,42.0,47.0,31.0,8.0,6.0,21.0,25.0,122.0,110.0,2017
72,11700042,CHI,25769803856,32.0,87.0,3.894,11.0,41.0,1.9120000000000001,20.0,25.0,8.417,13.0,31.0,44.0,25.0,7.0,5.0,17.0,34.0,95.0,-65.0,2017
73,11700042,NOP,24159191100,34.0,81.0,3.933,7.0,21.0,2.75,33.0,38.0,5.507,10.0,37.0,47.0,29.0,11.0,5.0,21.0,22.0,108.0,65.0,2017
74,11700043,LAL,32212254940,29.0,70.0,3.9059999999999997,6.0,24.0,2.333,11.0,15.0,2.917,2.0,47.0,49.0,21.0,10.0,4.0,19.0,17.0,75.0,30.0,2017
75,11700043,SAC,30601642402,25.0,80.0,2.96,7.0,25.0,1.483,12.0,16.0,4.25,5.0,32.0,37.0,15.0,8.0,2.0,11.0,17.0,69.0,-30.0,2017
76,11700044,GSW,28991029392,51.0,85.0,6.797000000000001,20.0,32.0,3.1340000000000003,20.0,25.0,5.806,7.0,26.0,33.0,32.0,16.0,10.0,22.0,31.0,142.0,160.0,2017
77,11700044,MIN,27380416750,36.0,73.0,5.604,7.0,23.0,3.0,31.0,37.0,7.066,6.0,25.0,31.0,22.0,9.0,1.0,27.0,21.0,110.0,-160.0,2017
78,11700045,BKN,32212255020,42.0,84.0,7.0600000000000005,14.0,33.0,5.893,19.0,27.0,7.75,10.0,38.0,48.0,29.0,13.0,8.0,17.0,27.0,117.0,170.0,2017
79,11700045,NYK,30601642288,31.0,82.0,4.535,4.0,15.0,2.333,17.0,24.0,5.303,9.0,32.0,41.0,16.0,8.0,5.0,24.0,28.0,83.0,-170.0,2017
80,11700046,DET,27380417005,43.0,87.0,5.245,10.0,26.0,2.433,11.0,17.0,4.917,10.0,27.0,37.0,28.0,8.0,3.0,7.0,14.0,107.0,50.0,2017
81,11700046,IND,32212255080,41.0,75.0,6.735,5.0,9.0,3.0,10.0,12.0,5.5,4.0,31.0,35.0,23.0,6.0,5.0,17.0,16.0,97.0,-50.0,2017
82,11700047,PHX,20937965828,31.0,68.0,5.376,10.0,27.0,2.683,30.0,41.0,6.803,8.0,30.0,38.0,18.0,11.0,3.0,32.0,19.0,102.0,-90.0,2017
83,11700047,UTA,28991029716,48.0,91.0,8.421,11.0,30.0,4.0,13.0,17.0,5.333,8.0,24.0,32.0,23.0,18.0,5.0,17.0,34.0,120.0,90.0,2017
84,11700048,BOS,32212254760,35.0,88.0,5.445,12.0,29.0,4.071,31.0,42.0,8.072000000000001,10.0,43.0,53.0,19.0,12.0,5.0,14.0,24.0,113.0,85.0,2017
85,11700048,PHI,32212255100,37.0,84.0,7.422000000000001,7.0,25.0,2.033,15.0,29.0,4.2,5.0,42.0,47.0,23.0,6.0,6.0,19.0,31.0,96.0,-85.0,2017
86,11700049,HOU,32212254900,40.0,74.0,5.187,22.0,46.0,4.167,15.0,21.0,3.856,7.0,38.0,45.0,23.0,7.0,3.0,24.0,20.0,117.0,110.0,2017
87,11700049,NYK,30601642288,39.0,87.0,4.293,9.0,31.0,1.666,8.0,10.0,4.25,9.0,27.0,36.0,20.0,11.0,1.0,17.0,21.0,95.0,-110.0,2017
88,11700050,ATL,28991029266,35.0,77.0,5.642,10.0,30.0,3.033,20.0,25.0,5.708,7.0,39.0,46.0,22.0,8.0,7.0,25.0,27.0,100.0,60.0,2017
89,11700050,MEM,32212255260,35.0,81.0,7.2,4.0,22.0,2.2,14.0,24.0,5.916,6.0,34.0,40.0,21.0,12.0,4.0,19.0,26.0,88.0,-60.0,2017
90,11700051,CHA,32212255320,41.0,91.0,6.022,5.0,26.0,1.348,19.0,28.0,4.124,13.0,30.0,43.0,17.0,8.0,3.0,14.0,22.0,106.0,-15.0,2017
91,11700051,MIA,30601642212,40.0,81.0,6.976,11.0,28.0,4.029,18.0,29.0,3.964,11.0,38.0,49.0,23.0,9.0,8.0,20.0,20.0,109.0,15.0,2017
